策略名称,bc_raise_trend,bc_overyellow,bc_no_upper_shadow,bc_no_lower_shadow,bc_raise_active_cap,bc_undumping,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
砖型图,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,221675,91268,130407,41.17,0.4568,2.25
砖型图,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,239973,97623,142350,40.68,0.4256,2.23
砖型图,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,248761,101164,147597,40.67,0.4223,2.24
砖型图,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,267375,107753,159622,40.3,0.4092,2.22
砖型图,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,145684,58440,87244,40.11,0.3819,2.23
砖型图,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,157500,62516,94984,39.69,0.3568,2.21
砖型图,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,162348,64399,97949,39.67,0.3543,2.22
砖型图,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,174365,68626,105739,39.36,0.347,2.2
砖型图,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,127409,49326,78083,38.71,0.2697,2.14
砖型图,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,135361,51988,83373,38.41,0.2509,2.12
砖型图,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,146591,55851,90740,38.1,0.2442,2.11
砖型图,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,138368,52989,85379,38.3,0.2395,2.12
砖型图,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,105569,40954,64615,38.79,0.2347,2.17
砖型图,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,93515,35976,57539,38.47,0.2221,2.14
砖型图,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,114045,43851,70194,38.45,0.2218,2.15
砖型图,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,125427,47820,77607,38.13,0.2147,2.14
砖型图,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,433938,174615,259323,40.24,0.2069,2.26
砖型图,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,116765,44772,71993,38.34,0.2054,2.15
砖型图,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,99877,38075,61802,38.12,0.205,2.12
砖型图,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,493160,197099,296061,39.97,0.1976,2.25
砖型图,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,108550,41007,67543,37.78,0.1959,2.11
砖型图,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,532738,211188,321550,39.64,0.189,2.23
砖型图,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,102008,38762,63246,38,0.1884,2.12
砖型图,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,90541,34085,56456,37.65,0.1855,2.12
砖型图,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,472857,188239,284618,39.81,0.1825,2.24
砖型图,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,96144,35906,60238,37.35,0.1685,2.11
砖型图,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,103874,38494,65380,37.06,0.1636,2.1
砖型图,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,98097,36544,61553,37.25,0.1577,2.11
砖型图,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,286079,113045,173034,39.52,0.1495,2.25
砖型图,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,322899,126875,196024,39.29,0.1444,2.24
砖型图,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,73075,27428,45647,37.53,0.1361,2.14
砖型图,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,348624,135887,212737,38.98,0.1359,2.22
砖型图,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,78879,29340,49539,37.2,0.1264,2.13
砖型图,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,311410,121778,189632,39.11,0.1259,2.23
砖型图,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,86546,31937,54609,36.9,0.1225,2.12
砖型图,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65395,24307,41088,37.17,0.1191,2.12
砖型图,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,80619,29926,50693,37.12,0.1097,2.13
砖型图,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,69834,25716,44118,36.82,0.1042,2.1
砖型图,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,75834,27683,48151,36.5,0.0977,2.09
砖型图,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,264816,99429,165387,37.55,0.0904,2.13
砖型图,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,71276,26178,45098,36.73,0.0872,2.1
砖型图,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,228010,86361,141649,37.88,0.0821,2.16
砖型图,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,248346,93621,154725,37.7,0.0773,2.15
砖型图,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,243936,91789,152147,37.63,0.0726,2.14
砖型图,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,204352,76000,128352,37.19,0.0353,2.13
砖型图,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,188064,69440,118624,36.92,0.0336,2.13
砖型图,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,162611,60603,102008,37.27,0.0275,2.15
砖型图,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,176713,65585,111128,37.11,0.0252,2.14
砖型图,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,174252,65366,108886,37.51,0.022,2.15
砖型图,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,190640,71225,119415,37.36,0.0198,2.14
砖型图,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,187601,69872,117729,37.25,0.0158,2.14
砖型图,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,173634,64230,109404,36.99,0.0151,2.14
砖型图,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,249706,93349,156357,37.38,0.0055,2.16
砖型图,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,206431,77910,128521,37.74,-0.0014,2.19
砖型图,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,230571,86681,143890,37.59,-0.003,2.18
砖型图,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,225188,84298,140890,37.43,-0.0119,2.17
砖型图,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,143476,52333,91143,36.48,-0.032,2.12
砖型图,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,134100,49189,84911,36.68,-0.0432,2.13
砖型图,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,122722,45149,77573,36.79,-0.0441,2.14
砖型图,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,131879,48132,83747,36.5,-0.0527,2.13
砖型图,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,173316,63617,109699,36.71,-0.0555,2.15
砖型图,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,160345,59228,101117,36.94,-0.0609,2.17
砖型图,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,143891,53315,90576,37.05,-0.0621,2.18
砖型图,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,156635,57536,99099,36.73,-0.0742,2.16
