策略名称,bc_raise_trend,bc_no_upper_shadow,bc_no_lower_shadow,bc_raise_active_cap,交易次数,盈利次数,亏损次数,单次交易胜率(%),平均单笔交易收益率(%),平均持仓时间
砖型图,True,True,True,True,614,268,346,43.65,0.3998,2.21
砖型图,True,True,True,False,1396,553,843,39.61,0.013,2.25
砖型图,True,True,False,True,693,295,398,42.57,0.3459,2.18
砖型图,True,True,False,False,1560,620,940,39.74,0.024,2.24
砖型图,True,False,True,True,665,288,377,43.31,0.3709,2.21
砖型图,True,False,True,False,1527,607,920,39.75,0.0221,2.23
砖型图,True,False,False,True,745,316,429,42.42,0.3678,2.19
砖型图,True,False,False,False,1694,676,1018,39.91,0.0647,2.22
砖型图,False,True,True,True,1148,519,629,45.21,0.401,2.29
砖型图,False,True,True,False,2667,1118,1549,41.92,0.1351,2.32
砖型图,False,True,False,True,1285,570,715,44.36,0.3725,2.27
砖型图,False,True,False,False,3013,1257,1756,41.72,0.1281,2.3
砖型图,False,False,True,True,1234,555,679,44.98,0.3769,2.28
砖型图,False,False,True,False,2927,1228,1699,41.95,0.1483,2.29
砖型图,False,False,False,True,1372,607,765,44.24,0.3765,2.26
砖型图,False,False,False,False,3277,1369,1908,41.78,0.1576,2.28
